模型编号（rhino中对应编号，表单中表头、值均不显示）,构件编号（表单中显示）,构件类别,构件类型,方位,所属部件,材质类别,材质类型,保存状态,病害类型,干预情况,备注
TXL-01-20-27,TXL-01-20-27,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-28,TXL-01-20-28,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-29,TXL-01-20-29,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-30,TXL-01-20-30,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-31,TXL-01-20-31,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-32,TXL-01-20-32,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-33,TXL-01-20-33,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-34,TXL-01-20-34,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-35,TXL-01-20-35,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-36,TXL-01-20-36,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-37,TXL-01-20-37,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-38,TXL-01-20-38,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-39,TXL-01-20-39,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-40,TXL-01-20-40,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-41,TXL-01-20-41,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-42,TXL-01-20-42,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-43,TXL-01-20-43,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-44,TXL-01-20-44,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-45,TXL-01-20-45,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-46,TXL-01-20-46,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-47,TXL-01-20-47,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-48,TXL-01-20-48,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-49,TXL-01-20-49,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-50,TXL-01-20-50,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-51,TXL-01-20-51,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-52,TXL-01-20-52,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-53,TXL-01-20-53,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-54,TXL-01-20-54,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-55,TXL-01-20-55,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-56,TXL-01-20-56,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-57,TXL-01-20-57,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-58,TXL-01-20-58,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-59,TXL-01-20-59,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-60,TXL-01-20-60,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-61,TXL-01-20-61,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-62,TXL-01-20-62,粱,一类T型粱,,,铁,锻铁,,,,
TXJ-03-25-01,TXJ-03-25-01,,,,,铁,,,,,
TXJ-03-25-02,TXJ-03-25-02,,,,,铁,,,,,
TXJ-03-25-03,TXJ-03-25-03,,,,,铁,,,,,
TXJ-03-26-01,TXJ-03-26-01,,,,,铁,,,,,
TXJ-03-26-02,TXJ-03-26-02,,,,,铁,,,,,
